#data decimated by hand by Tod
#Time,Eng. Strain,Eng. Stress
0,0,0
0.144,0.000051,0.143761
0.286,0.000109,0.324626
0.426,0.000156,0.473062
0.606,0.000219,0.642451
0.786,0.000278,0.822775
0.966,0.000348,1.00573
1.166,0.00041,1.19053
1.366,0.000479,1.38338
1.566,0.000543,1.57093
1.766,0.00061,1.746
1.966,0.000675,1.93695
2.166,0.000747,2.11944
2.366,0.000808,2.29227
2.566,0.000881,2.48715
2.766,0.000945,2.65196
2.966,0.001012,2.83377
3.166,0.001081,3.01567
3.366,0.001149,3.18876
3.566,0.001212,3.37299
3.766,0.001286,3.55278
3.966,0.001347,3.70921
4.166,0.001414,3.88938
4.366,0.001475,4.0397
4.566,0.001543,4.20792
4.766,0.001611,4.37936
4.966,0.001673,4.53586
5.166,0.001738,4.70383
5.366,0.001805,4.86722
5.566,0.001869,5.02387
5.766,0.001939,5.19594
5.966,0.002,5.34954
6.166,0.002068,5.50618
6.366,0.002138,5.6778
6.566,0.002201,5.823
6.766,0.002267,5.9863
6.966,0.002338,6.14121
7.166,0.002398,6.2906
7.366,0.002465,6.45522
7.566,0.002531,6.60113
7.766,0.002595,6.74711
7.966,0.002666,6.915
8.166,0.002733,7.05236
8.366,0.002801,7.21086
8.566,0.00287,7.3624
8.766,0.002934,7.50881
8.966,0.003007,7.66448
9.166,0.003069,7.81095
9.366,0.003137,7.94869
9.566,0.003208,8.11136
9.766,0.003275,8.24309
9.966,0.003345,8.38921
10.166,0.003411,8.53206
10.366,0.003476,8.66631
10.566,0.003548,8.81497
10.766,0.003613,8.95089
10.966,0.003679,9.08679
11.166,0.003757,9.23929
11.366,0.00382,9.36613
11.566,0.003886,9.5048
11.766,0.003961,9.65157
11.966,0.004028,9.77554
12.166,0.004099,9.91932
12.366,0.00417,10.0523
12.566,0.004237,10.1806
12.766,0.00431,10.3195
12.966,0.004375,10.4501
13.166,0.004444,10.5702
13.366,0.004522,10.7169
13.566,0.004585,10.8295
13.766,0.004655,10.9609
13.966,0.004727,11.0888
14.166,0.004794,11.2102
14.366,0.004868,11.3435
14.566,0.00494,11.467
14.766,0.005008,11.5845
14.966,0.005012,11.5321
15.166,0.005011,11.4839
15.366,0.00501,11.4438
15.566,0.005014,11.4053
15.766,0.005013,11.3724
15.966,0.005014,11.3412
16.166,0.005015,11.3117
16.366,0.005014,11.2856
16.566,0.005011,11.2602
16.766,0.005012,11.2382
16.966,0.005014,11.2149
17.166,0.005012,11.1944
17.366,0.005009,11.1738
17.566,0.005016,11.1544
17.766,0.005013,11.1354
17.966,0.005013,11.1178
18.166,0.00501,11.1007
18.366,0.005011,11.0828
18.566,0.00501,11.0674
18.766,0.00501,11.051
18.966,0.005004,11.0352
19.166,0.005015,11.0206
19.366,0.00501,11.006
19.566,0.00501,10.9909
19.766,0.00501,10.9777
19.966,0.005009,10.9646
20.166,0.00501,10.9513
20.366,0.005011,10.9377
20.566,0.005007,10.9256
20.766,0.005008,10.9126
20.966,0.005007,10.9011
21.166,0.00501,10.8899
21.366,0.00501,10.8771
21.566,0.005011,10.8666
21.766,0.005008,10.8552
21.966,0.005006,10.8444
22.166,0.005009,10.8339
22.366,0.00501,10.8239
23.366,0.005008,10.7736
24.366,0.00501,10.7276
25.366,0.005006,10.6854
26.366,0.005009,10.6454
27.366,0.005005,10.6091
28.366,0.005008,10.574
29.366,0.005009,10.5417
30.366,0.005004,10.5091
31.366,0.005008,10.4792
32.366,0.005005,10.4513
33.366,0.005009,10.4242
34.366,0.005004,10.3979
35.366,0.005004,10.3725
36.366,0.005006,10.3488
37.366,0.005005,10.325
38.366,0.004999,10.3036
39.366,0.005002,10.283
40.366,0.005005,10.2617
41.366,0.005003,10.2418
42.366,0.004999,10.2235
43.366,0.005001,10.2032
44.366,0.004999,10.1849
45.366,0.004999,10.1675
46.366,0.005001,10.1502
47.366,0.005001,10.1336
48.366,0.005001,10.1167
49.366,0.005,10.1005
50.366,0.005,10.0839
51.366,0.004994,10.0694
52.366,0.004999,10.0557
53.366,0.004999,10.0404
54.366,0.004996,10.026
55.366,0.004994,10.0114
56.366,0.004996,9.99847
57.366,0.004995,9.98624
58.366,0.004996,9.97349
59.366,0.004997,9.96091
60.366,0.004999,9.94751
61.366,0.004995,9.93573
62.366,0.004996,9.92257
63.366,0.004991,9.91044
64.366,0.004997,9.8979
65.366,0.004994,9.8882
66.366,0.004996,9.87592
67.366,0.00499,9.86468
68.366,0.004992,9.85393
69.366,0.004995,9.84439
70.366,0.004993,9.83251
71.366,0.00499,9.82268
72.366,0.004994,9.81298
73.366,0.004995,9.80177
74.366,0.004993,9.7939
75.366,0.004991,9.78339
76.366,0.00499,9.77307
77.366,0.004995,9.76697
78.366,0.004993,9.75446
79.366,0.004992,9.74521
80.366,0.004995,9.73658
81.366,0.004993,9.72847
82.366,0.004994,9.71842
83.366,0.004991,9.71001
84.366,0.004993,9.70314
85.366,0.004992,9.69396
86.366,0.004993,9.6862
87.366,0.004989,9.6774
88.366,0.00499,9.66966
89.366,0.004995,9.66172
90.366,0.004991,9.65448
91.366,0.00499,9.64616
92.366,0.004989,9.63787
93.366,0.004991,9.63023
94.366,0.004989,9.62399
95.366,0.004991,9.61504
96.366,0.004993,9.6043
97.366,0.00499,9.59999
98.366,0.004989,9.59394
99.366,0.00499,9.5846
100.366,0.00499,9.58015
101.366,0.004987,9.57304
102.366,0.004988,9.56783
103.366,0.004989,9.55808
104.366,0.004988,9.55201
105.366,0.004991,9.54456
106.366,0.004988,9.53887
107.366,0.004989,9.53182
108.366,0.004986,9.52603
109.366,0.004988,9.51965
110.366,0.004991,9.51438
111.366,0.00499,9.50526
112.366,0.00499,9.50144
113.366,0.004986,9.49622
114.366,0.004986,9.48865
115.366,0.004988,9.48223
116.366,0.004987,9.47621
117.366,0.004987,9.47094
118.366,0.004986,9.46435
119.366,0.004988,9.45935
120.366,0.004984,9.45373
121.366,0.004984,9.44797
122.366,0.004985,9.4423
123.366,0.004987,9.4363
124.366,0.004988,9.42984
125.366,0.004982,9.4266
126.366,0.004986,9.41914
127.366,0.004991,9.41434
128.366,0.004989,9.40816
129.366,0.004986,9.40164
130.366,0.004987,9.39672
131.366,0.004986,9.39276
132.366,0.004984,9.39558
133.366,0.004985,9.3811
134.366,0.00499,9.37698
135.366,0.004986,9.37098
136.366,0.004987,9.36622
137.366,0.00499,9.36285
138.366,0.004985,9.35677
139.366,0.004986,9.35174
140.366,0.004982,9.34674
141.366,0.004987,9.3426
142.366,0.004987,9.33709
143.366,0.004983,9.33222
144.366,0.004985,9.32682
145.366,0.004984,9.32234
146.366,0.004984,9.32159
147.366,0.004985,9.31402
148.366,0.004983,9.3088
149.366,0.004984,9.30418
150.366,0.004984,9.29865
151.366,0.004984,9.29485
152.366,0.004985,9.29047
153.366,0.004984,9.28559
154.366,0.004983,9.27433
155.366,0.004985,9.27798
156.366,0.004981,9.27225
157.366,0.004983,9.26731
158.366,0.004986,9.26359
159.366,0.004982,9.25991
160.366,0.004984,9.25567
161.366,0.004982,9.25122
162.366,0.004984,9.24718
163.366,0.004983,9.24234
164.366,0.004981,9.23692
165.366,0.004983,9.2331
166.366,0.004983,9.2276
167.366,0.004983,9.22531
168.366,0.004984,9.22299
169.366,0.004981,9.21802
170.366,0.004983,9.21404
171.366,0.004982,9.20822
172.366,0.004983,9.20849
173.366,0.004981,9.20112
174.366,0.004983,9.19241
175.366,0.004985,9.19196
176.366,0.004979,9.18839
177.366,0.00498,9.18556
178.366,0.004984,9.18204
