#data decimated by hand by Tod,,
#Time,Eng. Strain,Eng. Stress
0,0,0
0.16,0.000057,0.179154
0.4,0.000142,0.4456
0.62,0.000216,0.662611
0.8,0.000281,0.851736
0.98,0.000337,1.01868
1.18,0.000399,1.20911
1.36,0.000463,1.38954
1.56,0.000529,1.56378
1.76,0.000592,1.75692
1.96,0.000657,1.94325
2.16,0.00072,2.1177
2.36,0.00079,2.30179
2.56,0.000854,2.48764
2.76,0.000913,2.65421
2.96,0.000984,2.8474
3.16,0.00105,3.0185
3.36,0.001117,3.19383
3.56,0.001183,3.37971
3.76,0.001244,3.54468
3.96,0.001313,3.7277
4.16,0.001383,3.9027
4.36,0.001444,4.07043
4.56,0.001515,4.24921
4.76,0.001579,4.40824
4.96,0.001641,4.57138
5.16,0.00171,4.74346
5.36,0.001771,4.89782
5.56,0.001839,5.06373
5.76,0.001909,5.22557
5.96,0.001973,5.38442
6.16,0.00204,5.55423
6.36,0.002106,5.70801
6.56,0.002169,5.86046
6.76,0.002239,6.03601
6.96,0.002301,6.17986
7.16,0.002372,6.34195
7.36,0.002439,6.49261
7.56,0.002504,6.64492
7.76,0.00257,6.80129
7.96,0.002636,6.95235
8.16,0.002703,7.10109
8.36,0.002776,7.26772
8.56,0.002841,7.41166
8.76,0.002907,7.56151
8.96,0.002977,7.71715
9.16,0.003043,7.85839
9.36,0.003112,8.01102
9.56,0.00318,8.158
9.76,0.003245,8.29698
9.96,0.003316,8.45494
10.16,0.003382,8.5841
10.36,0.003452,8.72751
10.56,0.003521,8.87389
10.76,0.003586,9.00972
10.96,0.003661,9.15258
11.16,0.003724,9.2914
11.36,0.003797,9.43062
11.56,0.003868,9.57439
11.76,0.003935,9.71354
11.96,0.004002,9.84708
12.16,0.004079,9.99219
12.36,0.004143,10.1144
12.56,0.004213,10.254
12.76,0.004285,10.3878
12.96,0.004358,10.5158
13.16,0.004427,10.654
13.36,0.00449,10.7831
13.56,0.004561,10.9032
13.76,0.004639,11.0451
