#Temp(degC)	Time (sec)	Modulus (GPa)
27	9	23.95
27	17	23.91
27	29	23.84
27	52	23.72
27	93	23.72
27	166	23.51
27	295	23.16
27	525	22.61
27	933	21.79
27	1660	20.73
27	2952	19.66
27	5250	18.89
27	9337	18.46
27	16600	18.04
35	13	18.89
35	23	18.46
35	41	18.04
35	73	17.36
35	131	16.27
35	233	14.67
35	415	12.63
35	738	10.61
35	1312	9.29
35	2334	8.81
35	4151	8.61
35	7381	8.34
35	13126	7.91
45	17	8.81
45	31	8.61
45	55	8.34
45	98	7.91
45	174	7.27
45	310	6.46
45	552	5.67
45	982	5.16
45	1746	5
45	3106	4.97
45	5523	4.95
45	9822	4.92
45	17467	4.86
55	15	5.67
55	27	5.16
55	48	5
55	85	4.97
55	152	4.95
55	271	4.92
55	482	4.86
55	857	4.76
55	1524	4.59
55	2711	4.32
55	4822	3.92
55	8574	3.41
55	15248	2.92
65	17	4.92
65	30	4.86
65	55	4.76
65	97	4.59
65	174	4.32
65	309	3.92
65	550	3.41
65	979	2.92
65	1742	2.6
65	3097	2.5
65	5508	2.5
65	8000	2.5
65	17500	2.5
