#data decimated by hand by Tod,,
#Time,Eng. Strain,Eng. Stress
0,0,0
0.15,0.000058,0.185626
0.75,0.000265,0.807505
1.41,0.000483,1.44082
2.37,0.000797,2.32792
3.37,0.001128,3.21813
4.37,0.001452,4.07732
5.37,0.001779,4.90579
6.37,0.002113,5.7239
7.37,0.002443,6.51131
8.37,0.002783,7.28073
9.37,0.00313,8.04133
10.37,0.003475,8.76782
11.37,0.003816,9.46871
12.37,0.004164,10.1497
13.37,0.004518,10.8165
14.37,0.004875,11.4624
15.37,0.005238,12.0944
16.37,0.005607,12.6983
17.37,0.005977,13.2758
18.37,0.006357,13.8431
19.37,0.006738,14.3833
20.37,0.007128,14.9099
21.37,0.007529,15.4252
22.37,0.007935,15.9167
23.37,0.008353,16.3964
24.37,0.00877,16.8412
25.37,0.00919,17.2712
26.37,0.009624,17.696
27.37,0.010063,18.0964
28.37,0.010506,18.4849
29.37,0.010966,18.865
30.37,0.011426,19.228
31.37,0.011892,19.5626
32.37,0.012365,19.8888
33.37,0.012845,20.2037
34.37,0.013334,20.5032
35.37,0.013824,20.7923
36.37,0.014311,21.0635
37.37,0.014798,21.3048
38.37,0.015055,21.1583
39.37,0.015105,20.8653
40.37,0.015144,20.6515
41.37,0.015176,20.4766
42.37,0.015205,20.3292
43.37,0.015229,20.1991
44.37,0.015252,20.0836
45.37,0.015265,19.9779
46.37,0.015278,19.8816
47.37,0.015294,19.7908
48.37,0.015305,19.7078
49.37,0.015316,19.6404
50.37,0.01533,19.5662
51.37,0.015336,19.498
52.37,0.015351,19.4321
53.37,0.015362,19.3697
54.37,0.015371,19.311
55.37,0.015378,19.2534
56.37,0.015386,19.2008
57.37,0.015393,19.1503
58.37,0.015401,19.1003
59.37,0.015403,19.0513
60.37,0.015412,19.0068
61.37,0.015416,18.9606
62.37,0.01542,18.9199
63.37,0.01543,18.8762
64.37,0.015437,18.8366
65.37,0.015436,18.7977
66.37,0.015444,18.7597
67.37,0.015445,18.7245
68.37,0.015454,18.6886
69.37,0.015456,18.6532
70.37,0.015459,18.6203
71.37,0.015461,18.5859
72.37,0.015465,18.5549
73.37,0.015471,18.5239
74.37,0.015474,18.4916
75.37,0.015474,18.4632
76.37,0.015478,18.4341
77.37,0.01548,18.4045
78.37,0.015483,18.3777
79.37,0.01549,18.349
80.37,0.015487,18.3234
81.37,0.015496,18.2961
82.37,0.015494,18.2712
83.37,0.015501,18.2445
84.37,0.015502,18.2207
85.37,0.015504,18.1967
86.37,0.015507,18.1744
87.37,0.015508,18.1501
88.37,0.015514,18.127
89.37,0.015513,18.1035
90.37,0.015513,18.0821
91.37,0.015522,18.0609
92.37,0.015515,18.0397
93.37,0.01552,18.0195
94.37,0.015528,17.998
95.37,0.015524,17.9775
96.37,0.015528,17.9571
97.37,0.01553,17.9383
98.37,0.015531,17.9176
99.37,0.015536,17.8992
100.37,0.015535,17.8803
101.37,0.015541,17.8619
102.37,0.015539,17.844
103.37,0.01554,17.8251
104.37,0.015541,17.8067
105.37,0.015544,17.7908
106.37,0.015542,17.7728
107.37,0.015541,17.7546
108.37,0.015549,17.7388
109.37,0.015553,17.7224
110.37,0.015552,17.7051
111.37,0.015555,17.691
112.37,0.015554,17.6743
113.37,0.015554,17.6587
114.37,0.01556,17.6428
115.37,0.015561,17.6262
116.37,0.015559,17.6104
117.37,0.015558,17.5965
118.37,0.015564,17.582
119.37,0.015561,17.5677
120.37,0.015563,17.5523
121.37,0.015565,17.5388
122.37,0.015563,17.5228
